Overriding config with config/train_shakespeare_char_mac.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 80
log_interval = 1 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 2000
lr_decay_iters = 2000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
device = 'mps'  # run on cpu only
compile = False # do not torch compile the model

Overriding: n_head = 4
Overriding: n_layer = 6
tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: False
iter 173: loss 2.3287, time 442.30ms, mfu 0.84%
iter 174: loss 2.3406, time 442.77ms, mfu 0.84%
iter 175: loss 2.3235, time 441.97ms, mfu 0.84%
iter 176: loss 2.3088, time 443.19ms, mfu 0.84%
iter 177: loss 2.2914, time 442.73ms, mfu 0.84%
iter 178: loss 2.3065, time 442.93ms, mfu 0.84%
iter 179: loss 2.3013, time 442.22ms, mfu 0.84%
iter 180: loss 2.2867, time 442.32ms, mfu 0.84%
iter 181: loss 2.2880, time 441.91ms, mfu 0.84%
iter 182: loss 2.3005, time 442.44ms, mfu 0.84%
iter 183: loss 2.2795, time 442.87ms, mfu 0.84%
iter 184: loss 2.2722, time 442.35ms, mfu 0.84%
iter 185: loss 2.2606, time 443.36ms, mfu 0.84%
iter 186: loss 2.2283, time 443.54ms, mfu 0.84%
iter 187: loss 2.2432, time 442.02ms, mfu 0.84%
iter 188: loss 2.2403, time 443.10ms, mfu 0.84%
iter 189: loss 2.2043, time 441.81ms, mfu 0.84%
iter 190: loss 2.2401, time 442.24ms, mfu 0.84%
iter 191: loss 2.2143, time 441.63ms, mfu 0.84%
iter 192: loss 2.2345, time 441.74ms, mfu 0.84%
iter 193: loss 2.2475, time 442.42ms, mfu 0.84%
iter 194: loss 2.2063, time 442.84ms, mfu 0.84%
iter 195: loss 2.2216, time 442.72ms, mfu 0.84%
iter 196: loss 2.2162, time 443.24ms, mfu 0.84%
iter 197: loss 2.1961, time 442.59ms, mfu 0.84%
iter 198: loss 2.1721, time 442.17ms, mfu 0.84%
iter 199: loss 2.2144, time 443.03ms, mfu 0.84%
iter 200: loss 2.1945, time 442.09ms, mfu 0.84%
iter 201: loss 2.1610, time 443.11ms, mfu 0.84%
iter 202: loss 2.1618, time 441.82ms, mfu 0.84%
iter 203: loss 2.1981, time 442.43ms, mfu 0.84%
iter 204: loss 2.1652, time 441.49ms, mfu 0.84%
iter 205: loss 2.1661, time 442.81ms, mfu 0.84%
iter 206: loss 2.1547, time 442.70ms, mfu 0.84%
iter 207: loss 2.1331, time 442.40ms, mfu 0.84%
iter 208: loss 2.1691, time 442.65ms, mfu 0.84%
iter 209: loss 2.1226, time 442.43ms, mfu 0.84%
iter 210: loss 2.1484, time 442.42ms, mfu 0.84%
iter 211: loss 2.1123, time 441.82ms, mfu 0.84%
iter 212: loss 2.1396, time 442.35ms, mfu 0.84%
iter 213: loss 2.1299, time 442.21ms, mfu 0.84%
iter 214: loss 2.1137, time 443.01ms, mfu 0.84%
iter 215: loss 2.1148, time 463.13ms, mfu 0.84%
iter 216: loss 2.1192, time 441.67ms, mfu 0.84%
iter 217: loss 2.1027, time 447.78ms, mfu 0.84%
iter 218: loss 2.1023, time 444.32ms, mfu 0.84%
iter 219: loss 2.1004, time 444.43ms, mfu 0.84%
iter 220: loss 2.0943, time 443.37ms, mfu 0.84%
iter 221: loss 2.1016, time 443.51ms, mfu 0.84%
iter 222: loss 2.0800, time 442.90ms, mfu 0.84%
iter 223: loss 2.0718, time 442.95ms, mfu 0.84%
iter 224: loss 2.0512, time 442.52ms, mfu 0.84%
iter 225: loss 2.1030, time 443.48ms, mfu 0.84%
iter 226: loss 2.0765, time 442.74ms, mfu 0.84%
iter 227: loss 2.0993, time 442.19ms, mfu 0.84%
iter 228: loss 2.0508, time 442.36ms, mfu 0.84%
iter 229: loss 2.0510, time 442.66ms, mfu 0.84%
iter 230: loss 2.0716, time 444.22ms, mfu 0.84%
iter 231: loss 2.0705, time 444.42ms, mfu 0.84%
iter 232: loss 2.0866, time 441.99ms, mfu 0.84%
iter 233: loss 2.0487, time 442.38ms, mfu 0.84%
iter 234: loss 2.0599, time 441.97ms, mfu 0.84%
iter 235: loss 2.0322, time 442.74ms, mfu 0.84%
iter 236: loss 2.0594, time 443.71ms, mfu 0.84%
iter 237: loss 2.0526, time 442.94ms, mfu 0.84%
iter 238: loss 2.0413, time 442.46ms, mfu 0.84%
iter 239: loss 2.0141, time 441.78ms, mfu 0.84%
iter 240: loss 2.0567, time 441.62ms, mfu 0.84%
iter 241: loss 2.0304, time 442.29ms, mfu 0.84%
iter 242: loss 2.0137, time 441.89ms, mfu 0.84%
iter 243: loss 2.0423, time 442.39ms, mfu 0.84%
iter 244: loss 2.0226, time 441.44ms, mfu 0.84%
iter 245: loss 2.0405, time 441.95ms, mfu 0.84%
iter 246: loss 2.0137, time 441.85ms, mfu 0.84%
iter 247: loss 2.0061, time 441.37ms, mfu 0.84%
iter 248: loss 1.9936, time 441.98ms, mfu 0.84%
iter 249: loss 1.9984, time 441.95ms, mfu 0.84%
step 250: train loss 1.9423, val loss 2.0686
saving checkpoint to out-shakespeare-char
iter 250: loss 2.0053, time 24152.79ms, mfu 0.76%
iter 251: loss 2.0069, time 454.12ms, mfu 0.77%
iter 252: loss 1.9996, time 449.22ms, mfu 0.77%
iter 253: loss 2.0146, time 446.18ms, mfu 0.78%
iter 254: loss 2.0094, time 447.75ms, mfu 0.78%
iter 255: loss 1.9989, time 445.10ms, mfu 0.79%
iter 256: loss 1.9838, time 444.27ms, mfu 0.79%
iter 257: loss 2.0014, time 447.45ms, mfu 0.80%
iter 258: loss 1.9922, time 448.15ms, mfu 0.80%
iter 259: loss 1.9821, time 451.59ms, mfu 0.80%
iter 260: loss 2.0011, time 456.86ms, mfu 0.80%
iter 261: loss 1.9626, time 444.32ms, mfu 0.81%
iter 262: loss 1.9912, time 450.94ms, mfu 0.81%
iter 263: loss 1.9709, time 444.76ms, mfu 0.81%
iter 264: loss 1.9652, time 445.67ms, mfu 0.82%
iter 265: loss 1.9626, time 447.53ms, mfu 0.82%
iter 266: loss 1.9637, time 444.16ms, mfu 0.82%
iter 267: loss 1.9636, time 446.71ms, mfu 0.82%
iter 268: loss 1.9546, time 446.37ms, mfu 0.82%
iter 269: loss 1.9734, time 448.88ms, mfu 0.82%
iter 270: loss 1.9538, time 449.80ms, mfu 0.82%
iter 271: loss 1.9419, time 495.29ms, mfu 0.82%
iter 272: loss 1.9724, time 447.03ms, mfu 0.82%
iter 273: loss 1.9405, time 446.33ms, mfu 0.82%
iter 274: loss 1.9274, time 448.46ms, mfu 0.82%
iter 275: loss 1.9721, time 444.59ms, mfu 0.82%
iter 276: loss 1.9458, time 448.44ms, mfu 0.82%
iter 277: loss 1.9439, time 448.03ms, mfu 0.82%
iter 278: loss 1.9413, time 445.74ms, mfu 0.83%
iter 279: loss 1.9646, time 444.10ms, mfu 0.83%
iter 280: loss 1.9238, time 446.75ms, mfu 0.83%
iter 281: loss 1.9389, time 446.08ms, mfu 0.83%
iter 282: loss 1.9481, time 443.21ms, mfu 0.83%
iter 283: loss 1.9446, time 443.68ms, mfu 0.83%
iter 284: loss 1.9438, time 444.00ms, mfu 0.83%
iter 285: loss 1.9310, time 443.93ms, mfu 0.83%
iter 286: loss 1.9132, time 456.14ms, mfu 0.83%
